Bin,Omega,HistogramDD,HistogramDR,HistogramRR
31.50-31.75,-0.001532,53313720,47907516,42436286
31.75-32.00,-0.004937,53349750,47980040,42400980
32.00-32.25,-0.006741,53441200,48048916,42371010
32.25-32.50,-0.006505,53531160,48084268,42361806
32.50-32.75,-0.009703,53484296,48110543,42326084
32.75-33.00,-0.011477,53443034,48127000,42325210
33.00-33.25,-0.008169,53592960,48116670,42294872
33.25-33.50,0.000867,53925124,48093979,42299498
33.50-33.75,0.001094,54025988,48129964,42280190
33.75-34.00,0.003405,54111472,48119379,42271240
34.00-34.25,0.002277,54164130,48143851,42219696
34.25-34.50,0.005799,54340914,48140274,42184252
34.50-34.75,0.010066,54508098,48120253,42156750
34.75-35.00,0.005452,54304212,48103339,42132190
35.00-35.25,-0.004465,53918990,48080902,42055032
35.25-35.50,-0.009094,53681824,48038792,42013702
35.50-35.75,-0.014442,53515022,48034340,41947840
35.75-36.00,-0.018262,53435192,48046910,41893564
36.00-36.25,-0.022643,53209312,47999217,41841684
36.25-36.50,-0.024609,53022592,47914236,41777762
36.50-36.75,-0.031577,52653752,47844895,41718704
36.75-37.00,-0.038144,52261138,47756746,41663150
37.00-37.25,-0.049354,51746700,47705000,41609696
37.25-37.50,-0.058254,51327960,47654183,41559424
37.50-37.75,-0.064656,51066296,47624915,41500280
37.75-38.00,-0.063720,50979366,47534971,41449404
38.00-38.25,-0.065488,50907902,47481614,41347566
38.25-38.50,-0.063593,50786018,47333018,41256414
38.50-38.75,-0.067994,50564552,47279503,41193560
38.75-39.00,-0.073157,50145164,47148103,41141284
39.00-39.25,-0.076745,49810336,47009006,41056788
39.25-39.50,-0.081092,49518516,46907554,40973934
39.50-39.75,-0.084680,49264142,46806029,40885698
39.75-40.00,-0.086471,49057564,46675427,40768024
40.00-40.25,-0.090886,48750994,46560026,40672488
40.25-40.50,-0.094808,48447896,46432587,40570844
40.50-40.75,-0.093283,48204726,46250767,40517240
40.75-41.00,-0.096602,47740392,46032832,40420580
41.00-41.25,-0.100043,47280744,45840749,40362730
41.25-41.50,-0.105130,46867202,45689851,40278058
41.50-41.75,-0.104939,46575532,45478815,40166998
41.75-42.00,-0.096956,46576762,45269508,40076590
42.00-42.25,-0.088384,46480096,45001359,39988304
42.25-42.50,-0.083279,46283494,44761551,39915484
42.50-42.75,-0.083610,45949028,44536095,39795824
42.75-43.00,-0.074967,45801744,44230093,39683492
43.00-43.25,-0.066790,45632308,43937138,39597276
43.25-43.50,-0.069061,45276786,43745730,39487624
43.50-43.75,-0.063992,45073094,43490057,39386596
43.75-44.00,-0.057887,45026150,43290461,39280924
44.00-44.25,-0.053938,44930810,43103962,39164662
44.25-44.50,-0.051675,44642784,42856375,39051974
44.50-44.75,-0.051445,44285152,42602889,38918466
44.75-45.00,-0.051791,44037440,42422750,38798656
45.00-45.25,-0.051962,43796544,42224121,38643704
45.25-45.50,-0.059216,43348076,42047952,38469808
45.50-45.75,-0.065200,42900814,41866620,38333116
45.75-46.00,-0.062226,42788352,41667389,38171198
46.00-46.25,-0.059281,42603832,41466611,38072412
46.25-46.50,-0.057305,42509838,41307975,37932410
46.50-46.75,-0.059324,42170910,41106560,37799758
46.75-47.00,-0.063457,41658876,40847664,37647454
47.00-47.25,-0.075534,40954708,40642015,37497020
47.25-47.50,-0.081191,40377766,40377834,37345744
47.50-47.75,-0.081350,39919606,40071868,37198072
47.75-48.00,-0.074675,39536786,39692217,37078796
48.00-48.25,-0.075589,39048584,39392470,36943826
48.25-48.50,-0.078634,38484858,39088601,36798716
48.50-48.75,-0.085045,37896646,38814710,36618552
48.75-49.00,-0.090412,37381278,38565576,36453988
49.00-49.25,-0.092329,36885590,38279841,36320638
49.25-49.50,-0.096913,36350950,38014998,36173374
49.50-49.75,-0.105870,35677488,37755087,36019328
49.75-50.00,-0.110357,35061136,37459939,35897220
50.00-50.25,-0.111856,34647368,37189053,35733698
50.25-50.50,-0.117672,34189064,36961176,35550058
50.50-50.75,-0.123384,33733322,36746371,35392538
50.75-51.00,-0.128533,33269476,36523060,35246322
51.00-51.25,-0.128538,32893408,36244317,35085406
51.25-51.50,-0.126460,32590360,35951107,34898574
51.50-51.75,-0.127117,32354166,35751279,34733226
51.75-52.00,-0.127421,31934796,35460317,34579674
52.00-52.25,-0.125417,31583634,35167526,34432954
52.25-52.50,-0.130294,31170162,34952197,34269168
52.50-52.75,-0.137565,30664118,34713986,34076158
52.75-53.00,-0.142670,30196110,34472011,33909988
53.00-53.25,-0.147023,29757284,34234289,33749354
53.25-53.50,-0.148507,29400852,33968823,33553806
53.50-53.75,-0.154365,28928892,33727120,33373628
53.75-54.00,-0.161891,28471076,33517495,33190656
54.00-54.25,-0.163914,28158764,33303410,33033428
54.25-54.50,-0.167626,27788200,33072771,32850718
54.50-54.75,-0.168499,27494952,32828239,32658598
54.75-55.00,-0.173728,27005448,32540869,32440476
55.00-55.25,-0.180281,26466152,32282253,32279056
55.25-55.50,-0.181994,25941328,31951113,32115980
55.50-55.75,-0.183591,25457238,31608241,31902258
55.75-56.00,-0.182321,25103878,31319824,31747526
56.00-56.25,-0.186203,24671836,31051728,31555828
56.25-56.50,-0.193111,24231024,30817413,31349804
56.50-56.75,-0.195016,23772484,30511400,31171384
56.75-57.00,-0.199009,23283300,30223624,30995542
57.00-57.25,-0.201729,22858184,29936923,30802014
57.25-57.50,-0.204765,22460670,29674343,30618432
57.50-57.75,-0.208194,22066720,29390254,30387320
57.75-58.00,-0.210839,21732430,29131226,30169178
58.00-58.25,-0.211849,21389904,28847134,29957840
58.25-58.50,-0.216125,21026600,28588390,29725712
58.50-58.75,-0.210647,20788324,28261903,29517668
58.75-59.00,-0.206416,20490770,27936682,29328692
59.00-59.25,-0.206685,20172826,27652829,29115166
59.25-59.50,-0.205351,19864522,27332271,28871284
59.50-59.75,-0.205455,19606492,27085967,28674192
59.75-60.00,-0.206967,19340860,26847412,28463040
60.00-60.25,-0.208294,19020152,26583915,28261070
60.25-60.50,-0.211175,18667130,26318385,28046840
60.50-60.75,-0.215304,18296596,26071598,27850310
60.75-61.00,-0.213363,18051338,25807244,27661256
61.00-61.25,-0.210221,17815396,25526038,27463304
61.25-61.50,-0.209514,17576146,25274225,27260776
61.50-61.75,-0.209313,17333942,25025049,27053512
61.75-62.00,-0.208953,17114580,24795242,26862824
62.00-62.25,-0.211599,16884632,24578849,26636746
62.25-62.50,-0.211510,16628116,24338985,26454474
62.50-62.75,-0.216749,16282208,24109290,26247302
62.75-63.00,-0.222404,15892472,23846601,26014912
63.00-63.25,-0.218310,15699706,23573623,25812426
